Council District, Census Tracts 
1,1001600 1005501 1003100 1002100 1004300 1002500 1001300 1000800 1004500 1002700 1002900 1004100 1000201 1000600 1001401 1001402 1001800 1000100 1031704 1000900 1031703 1000700 1001501 1003001 1003601 1005900 1031900 1003300 1004700 1004900 1006500 1000500 1001001 1001200 1003900 1005502 1001502 
2,1007000 1002202 1006600 1006800 1002000 1002601 1003002 1002602 1003200 1004000 1004800 1005000 1006400 1004200 1001002 1007200 1007400 1003602 1005200 1006100 1005600 1003400 1002800 1005700 1000202 1002400 1003800 1002201 
3,1008900 1009300 1011100 1008300 1012700 1008700 1005400 1007700 1008100 1007100 1009700 1010300 1006700 1007300 1009100 1009500 1011500 1012100 1007500 1007900 1009900 1006900 1012900 1011300 1011900 1010900 1013500 1013300 1010100 1006300 1003700 1005800 1013900 1011700 1014500 
4,1010200 1010400 1012000 1009000 1008200 1008400 1009400 1009600 1008000 1010000 1012800 1011203 1011402 1008800 1009200 1009800 1013000 1014000 1012500 1015001 1013100 1014200 1011201 1011202 1012200 1015002 1016001 1007600 1013700 1015801 1016002 1008602 1008603 1007800 1008601 1011401 1014801 1014802 1004400 1006000 1006200 
5,1010602 1012400 1013800 1015400 1014401 1011600 1013200 1013600 1014601 1014602 1023801 1014402 1010601 1011000 1015601 1010800 1015802 1015200 1013400 1011800 1012600 1023802 
6,1016900 1016500 1016100 1017700 1017300 1015700 1015300 1014700 1016300 1016700 1017100 1017900 1015500 1015900 1018300 1018700 1019100 1017500 1019500 1018100 1015100 1014300 1014900 
7,1020101 1020701 1018500 1018900 1020300 1019701 1019900 1020500 1021900 1022500 1023700 1022900 1021100 1024500 1019300 1022302 1024700 1022301 1024100 1022700 1023900 1023300 1020901 
8,2003300 1018000 1017000 1017200 1018800 1019400 2004100 2002500 2003900 2002701 2002702 2002300 1019200 1017800 2003500 2007300 2003100 1017402 2018900 1024200 2003700 1024000 2004300 1018200 1016800 2006300 2005100 1016200 2019500 1016600 2008500 1015602 1016400 
9,1019000 1020600 1022600 1020800 1022400 1022000 1021400 1018600 1022800 1021200 1022200 1021600 1021800 1025900 1023000 1019800 1020000 1021500 1023200 1023400 1023502 1023600 1021000 1018400 1019600 1017401 1023100 1021303 1025700 1021703 1019702 1020102 1024302 1023501 1022102 
10,1024900 1026900 1027700 1029300 1030700 1029100 1030300 1028100 1025100 1025300 1027100 1029500 1026500 1026100 1027300 1026700 1026300 1028500 1027900 1028300 1025500 1027500 1029900 1028700 1030900 1024301 1029700 1031100 
11,2028700 2030100 2042300 2042902 2042901 2034500 2035100 2043100 2042100 2041100 2030701 2045101 2041800 2029700 2032300 2028900 2041300 2041900 2041500 2042500 2028500 2033500 2044902 2029500 2044901 2028100 2033700 2041400 2031900 2029301 2045102 2029302 2043400 2034300 2030900 2028300 2044200 2043500 2040900 2027900 
12,2036800 2039400 2039600 2039800 2040400 2040600 2042400 2042800 2040800 2038200 2038800 2038600 2035800 2045800 2046000 2036400 2048400 2037800 2038000 2037000 2039000 2039200 2044800 2042600 2042200 2043000 2043600 2034400 2042000 2035000 2037600 2034800 2037400 2037200 2044400 2034200 2030200 2046201 2046202 2035600 
13,2016200 2016600 2024600 2025400 2031200 2031400 2015800 2015200 2022403 2022404 2022800 2024400 2030000 2018400 2016400 2025600 2014400 2026601 2026602 2024800 2031600 2032400 2032600 2031800 2013000 2026400 2025000 2025200 2028800 2028400 2027401 2020000 2028600 2029600 2027402 2013200 2011000 2051600 2011800 2016000 2023200 2033000 2032800 2019400 2022401 2009600 2023800 2013800 2034000 2027600 2050400 2031000 2036000 2045600 
14,2024300 2040100 2023501 2026701 2022702 2021501 2026100 2026300 2024502 2023704 2024100 2023703 2023900 2022701 2023301 2025500 2025100 2025300 2021700 2022300 2040303 2040304 2040701 2026702 2027300 2026500 2026900 2020502 2020900 2024501 2025700 2024900 2021301 2021502 2027700 
15,2040501 2040502 2033800 2033600 2023100 2037900 2022000 2039902 2038900 2038700 2039100 2039300 2038302 2038500 2033202 2040302 2023302 2033201 2022703 2022901 2039500 2039901 2036100 2040702 2023502 2038100 2038301 2023702 2016500 2039700 2022902 2023000 2037300 2037504 2023600 2037100 2033400 2024000 2036501 
