fy,pb,compb,projectid,budgetline,theme,orborough,orcd,sponsor,project,descr,amount,address,addresstype,stno,stname,borough,zipad,zipgis,latitude,longitude,comdist,ct10,cb10,ct00,cb00,cd
2009,,,p cn152,tf d503,parks and recreation,r,49,mcmahon,bay st bus shelter,,"100,000","bay st, staten island, ny",street,,,,,,,,,,,,,
2009,,,p cn212,p d056,parks and recreation,x,18,palma,beach ave park ,,"1,000,000","beach ave, bronx, ny",street,,,,,,,,,,,,,
2009,,,hw cn001,hw d101,highways,b,35,james,clove road ,,"200,000","clove rd, brooklyn, ny 11225",street,,,,,,,,,,,,,
2009,,,tf cn005,hw d102,traffic,m,"4, 5","garodnick, lappin",e 86th st ,,"175,000","e 86th st, manhattan, ny",street,,,,,,,,,,,,,
2009,,,ed cn001,ed dn605,economic development,b,"35, 92","james, brooklyn delegation",myrtle ave,,"1,000,000","myrtle ave, brooklyn, ny 11201",street,,,,,,,,,,,,,
2009,,,p cn250,p d017,parks and recreation,x,47,recchia jr,ocean pkwy malls,,"1,000,000","ocean parkway, brooklyn, ny",street,,,,,,,,,,,,,
2009,,,hd cn035,hd dn546,housing preservation & development,x,15,rivera,bishop william james robinson apartments (bronx shephards restoration co),,"500,000","robinson ave, bronx, ny",street,,,,,,,,,,,,,
2009,,,hd cn057,hd dn549,housing preservation & development,m,9,dickens,richmond housing ,,"1,250,000","w 127th st, ny, ny 10027",street,,,,,,,,,,,,,
2009,,,pw cn006,pw d005,public buildings,q,32,addabbo,west hamilton beach ,,"2,500,000","west hamilton beach, queens, ny",neighborhood,,,,,,,,,,,,,
2009,,,p cn780,p d016,parks and recreation,a,"9, 33","dickens, yassky",city parks foundation ,,"75,000",citywide,"multiple, citywide",,,,,,,,,,,,,
2009,,,e cn309,e d001,education,x,12,seabrook,ps 160x walt disney; ps 122x ,,"500,000",cd 12,"multiple, cd",,,,,,,,,,,,,
2009,,,po cn003,po 0185,police,q,31,sanders jr,"101st, 105th precincts",,"50,000",cd 31,"multiple, cd",,,,,,,,,,,,,
2009,,,po cn002,po 0163,police,b,35,james,"71st, 77th, 78th  precincts ",,"500,000",cd 35,"multiple, cd",,,,,,,,,,,,,
2009,,,p cn007,p d018,parks and recreation,m,6,brewer,dante square; richard tucker square ,,"600,000",cd 6,"multiple, cd",,,,,,,,,,,,,
2009,,,ha cn014,ha d001,housing authority,m,8,mark-viverito,johnson houses; taft houses; washington/lexington houses ,,"450,000",cd 8,"multiple, cd",,,,,,,,,,,,,
2009,,,pv cn062,pv dn111,cultural affairs,m,"9, 47, 93","dickens, recchia jr, manhattan delegation","community works, dwyer cultural center",,"315,000",manhattan,"multiple, borough",,,,,,,,,,,,,
