,BoroCT,2011 Household Median Income
2,2000100,-
3,2000200,63449
4,2000400,75729
5,2001600,33910
6,2001900,26291
7,2002000,24833
8,2002300,12454
9,2002400,-
10,2002500,14433
11,2002701,24389
12,2002702,19542
13,2002800,47363
14,2003100,37167
15,2003300,20670
16,2003500,27585
17,2003700,26111
18,2003800,58750
19,2003900,32875
20,2004001,48400
21,2004100,19752
22,2004200,36840
23,2004300,26042
24,2004400,16313
25,2004600,27083
26,2004800,26114
27,2005001,29125
28,2005002,26126
29,2005100,16580
30,2005200,27875
31,2005300,16410
32,2005400,30082
33,2005600,26964
34,2005902,35666
35,2006000,37917
36,2006100,40970
37,2006200,25017
38,2006300,29923
39,2006400,43800
40,2006500,23670
41,2006700,17834
42,2006800,34152
43,2006900,21058
44,2007000,35795
45,2007100,33427
46,2007200,44156
47,2007300,22209
48,2007400,53767
49,2007500,28770
50,2007600,34833
51,2007700,31542
52,2007800,39737
53,2007900,17344
54,2008300,23647
55,2008400,49844
56,2008500,25860
57,2008600,21860
58,2008700,26250
59,2008900,18811
60,2009000,24657
61,2009200,40768
62,2009300,31417
63,2009600,43421
64,2009800,52889
65,2011000,-
66,2011502,19617
67,2011700,11812
68,2011800,73953
69,2011900,21114
70,2012101,33537
71,2012102,12321
72,2012300,17614
73,2012500,32245
74,2012701,14940
75,2012901,17723
76,2013000,81897
77,2013100,25168
78,2013200,81985
79,2013300,19784
80,2013500,18697
81,2013800,67417
82,2014100,28022
83,2014300,16544
84,2014400,23645
85,2014500,21799
86,2014701,16978
87,2014702,17947
88,2014900,27500
89,2015100,27569
90,2015200,56875
91,2015300,20469
92,2015500,26020
93,2015700,28304
94,2015800,51908
95,2015900,17175
96,2016000,77428
97,2016100,18261
98,2016200,89167
99,2016300,-
100,2016400,80125
101,2016500,31786
102,2016600,81008
103,2016700,39219
104,2016900,29844
105,2017100,-
106,2017300,19125
107,2017500,14992
108,2017701,22880
109,2017702,20950
110,2017901,21891
111,2017902,22035
112,2018101,33438
113,2018102,35462
114,2018301,32783
115,2018302,36008
116,2018400,64091
117,2018500,24049
118,2018900,26965
119,2019300,18143
120,2019400,48965
121,2019500,38624
122,2019700,29678
123,2019900,25980
124,2020000,31599
125,2020100,33396
126,2020200,43984
127,2020400,42935
128,2020501,23939
129,2020502,23958
130,2020601,44173
131,2020900,22232
132,2021001,49891
133,2021002,42609
134,2021100,24818
135,2021200,49872
136,2021301,21549
137,2021302,25517
138,2021501,31969
139,2021502,24663
140,2021601,27997
141,2021602,47423
142,2021700,20500
143,2021800,35638
144,2021900,31389
145,2022000,13750
146,2022101,26756
147,2022102,21551
148,2022200,34352
149,2022300,24581
150,2022401,35574
151,2022403,25923
152,2022404,46352
