Council District, Cluster, Census Tracts 
1,CD1.01,1004900 1005501 1006500 1005900 
1,CD1.02,1031703 1031704 1001300 1001502 1002100 1000100 
1,CD1.03,1005502 1004300 1003601 
1,CD1.04,1003900 1003300 1003100 
1,CD1.05,1001200 1001402 1003001 1001001 
1,CD1.06,1004700 1004500 1004100 
1,CD1.07,1031900 1000900 1000700 1000500 
1,CD1.08,1001501 1002900 1002500 
1,CD1.09,1001800 1001401 1001600 
1,CD1.10,1000600 1000800 1002700 1000201 
2,CD2.01,1005600 1005200 1006100 1005700 
2,CD2.02,1005000 1006400 1006800 1007400 
2,CD2.03,1002202 1003200 1004000 1003400 
2,CD2.04,1007000 1007200 1006600 
2,CD2.05,1002601 1003002 1003602 1003800 
2,CD2.06,1002000 1002400 1002602 1002800 
2,CD2.07,1002201 1001002 1000202 
2,CD2.08,1004200 1004800 
3,CD3.01,1009900 1011500 1011100 1010100 
3,CD3.02,1010900 1010300 1009500 1009100 
3,CD3.03,1013300 1012700 1012100 1012900 1011700 
3,CD3.04,1003700 1006700 1007300 1007700 1008300 
3,CD3.05,1008900 1008100 1006300 1007100 
3,CD3.06,1014500 1013900 1013500 
3,CD3.07,1005800 1005400 1008700 
3,CD3.08,1006900 1007500 1007900 
3,CD3.09,1011900 1011300 
3,CD3.10,1009700 1009300 
4,CD4.01,1009800 1009000 1008800 1007800 
4,CD4.02,1015002 1014801 1014000 1012800 
4,CD4.03,1013100 1010400 1009600 1008200 1012500 
4,CD4.04,1011203 1010000 1009200 1008000 
4,CD4.05,1011201 1011401 1012200 1012000 1013700 
4,CD4.06,1006200 1006000 1004400 
4,CD4.07,1014802 1015801 1016001 1016002 
4,CD4.08,1008601 1008602 1008603 
4,CD4.09,1007600 1008400 1009400 
4,CD4.10,1015001 1014200 1013000 
4,CD4.11,1011402 1011202 1010200 
5,CD5.01,1011000 1010602 1011800 1012400 
5,CD5.02,1013400 1013800 1013600 1014601 1014401 
5,CD5.03,1015601 1015400 1014602 1014402 1015802 1015200 
5,CD5.04,1011600 1012600 1013200 
5,CD5.05,1023802 1023801 
5,CD5.06,1010800 1010601 
6,CD6.01,1019500 1019100 1018700 1018300 
6,CD6.02,1014900 1015100 1015500 1014700 
6,CD6.03,1014300 1015300 1015700 
6,CD6.04,1018100 1017900 1017700 
6,CD6.05,1017500 1017300 1016900 
6,CD6.06,1015900 1016100 1016500 
6,CD6.07,1017100 1016700 1016300 
7,CD7.01,1020901 1021900 1022301 1022500 1022302 
7,CD7.02,1020101 1019900 1019300 1018900 1018500 
7,CD7.03,1023300 1023700 1024100 1024500 1024700 1023900 
7,CD7.04,1021100 1019701 1020701 
7,CD7.05,1022700 1022900 
7,CD7.06,1020500 1020300 
8,CD8.01,1018000 1018800 1017800 1019400 1017000 
8,CD8.02,2004100 2004300 2007300 2003500 2003100 2003700 2008500 
8,CD8.03,2002701 2002500 2002300 2005100 
8,CD8.04,2003300 2003900 2002702 
8,CD8.05,1016400 1015602 1016200 
8,CD8.06,1016600 1016800 1017200 
8,CD8.07,2019500 2006300 2018900 
8,CD8.08,1024000 1019200 1024200 
8,CD8.09,1018200 1017402 
9,CD9.01,1019800 1020800 1022600 1021500 1019600 
9,CD9.02,1023000 1023200 1023400 1023502 
9,CD9.03,1020600 1021000 1023600 1024302 
9,CD9.04,1022102 1022800 1021200 1021400 
9,CD9.05,1020102 1021800 1022000 1022200 1019000 
9,CD9.06,1025700 1022400 1020000 1018400 
9,CD9.07,1025900 1023100 1023501 
9,CD9.08,1019702 1021600 1018600 1017401 
9,CD9.09,1021703 1021303 
10,CD10.01,1025100 1025300 1026100 1027100 1027900 
10,CD10.02,1027700 1026900 1026300 1025500 1026500 1026700 
10,CD10.03,1031100 1028300 1028500 
10,CD10.04,1029700 1028700 1029100 
10,CD10.05,1029900 1030300 1029300 1030700 1029500 1030900 
10,CD10.06,1027500 1027300 1028100 
10,CD10.07,1024301 1024900 
11,CD11.01,2030100 2030701 2033500 2033700 
11,CD11.02,2029500 2029700 2029302 2029301 
11,CD11.03,2027900 2028100 2040900 2041100 
11,CD11.04,2028500 2028700 2028300 2028900 
11,CD11.05,2043500 2044901 2044902 
